key,en,fr,ar
EGY-711B85270152-803B76830858-X-354936,Jurays wa ‘Izbatuhā,Jurays wa Izbatuha,جريس و عزبتها
EGY-711B20348427-803B18830279-X-354007,Kafr Yūsuf Shiḩātah,Kafr Yusuf Shihatah,كفر يوسف شحاطة
EGY-711B65091897-803B164937-X-360578,Al Qaşrīyah,Al Qasriyah,القصرية
EGY-711B20348427-803B9986369-X-354381,Kafr Awlād Zayd,Kafr Awlad Zayd,كفر أولاد زيد
EGY-711B31659985-803B23314658-X-357257,Kôm Turûga,Kom Turuga,كوم تروجة
EGY-711B38941206-803B16486624-X-361383,Al Bayyāḑīyah,Al Bayyadiyah,البياضية
EGY-711B65091897-803B67241062-X-361265,Al Ḩaddād,Al Haddad,الحداد
EGY-711B8184782-803B75008137-X-433969,Banī Khālid,Bani Khalid al Bahriyah,بني خالد البحرية
EGY-711B95333894-803B33892715-X-421456,‘Izbat Sharabāş,Izbat Sharabas,عزبة شرباص
EGY-711B78324068-803B81487304-X-416305,‘Izbat Sa‘d Aḩmad,Izbat Sad Ahmad,عزبة سعد أحمد
EGY-711B11452178-803B94675768-X-361858,Ad Dahasah,Al Dahasah,الدهسة
EGY-711B78324068-803B52152806-X-410818,Kafr Shalabi,Kafr Shalabi,كفر شلبي
EGY-711B91250297-803B68510269-X-357187,‘Ezbet Muḥammad Sâbir,Ezbet Muhammad Sabir,عزبة محمد صابر
EGY-711B8184782-803B42158920-X-351124,Nazlat Ḩirz,Nazlat Hirz,نزلة حرز
EGY-711B94743502-803B47444103-X-420709,Ash Sha‘ālah,Al Shaalah,الشعالة
EGY-711B65091897-803B5789133-X-352237,Mīt al Bizz,Mit al Bizz,ميت البز
EGY-711B82469511-803B44748138-X-346116,Zāwiyat Abū Musallam,Zawiyat Abu Musallam,زاوية أبو مسلم
EGY-711B78324068-803B31841400-X-357416,‘Ezbet el-Rughâm,Ezbet al Rugham,عزبة الرغام
EGY-711B78324068-803B39793448-X-415848,‘Izbat Sulaymān Wahbah,Izbat Sulayman Wahbah,عزبة سليمان وهبة
EGY-711B91250297-803B21585728-X-434346,Minsha’at Futayḩ,Minshaat Futayh,منشأة فتيح
EGY-711B94743502-803B19020637-X-419634,‘Izbat Mirshāq,Izbat Mirshaq,عزبة مرشاق
EGY-711B31659985-803B97676774-X-433327,‘Izbat Aḩmad Ismā‘īl,Izbat Ahmad Ismail,عزبة أحمد إسماعيل
EGY-711B78324068-803B29715502-X-357342,‘Ezbet George Nasîf,Ezbet George Nasif,عزبة جورج ناصيف
EGY-711B31659985-803B23282512-X-355305,‘Izbat Umm al Laban,Izbat Umm al Laban,عزبة أم اللبن
EGY-711B65091897-803B43365020-X-352194,Mīt Badr Ḩalāwah,Mit Badr Halawah,ميت بدر حلاوة
EGY-711B31659985-803B54595429-X-415921,Kafr Ghunaym al Qiblīyah,Kafr Ghunaym al Qibliyah,كفر غنيم القبلية
EGY-711B20348427-803B82736701-X-351460,Naj‘ ‘Arab al Masā‘īd,Naj Arab al Masaid,نجع عرب المساعيد
EGY-711B17592462-803B9009159-X-357680,‘Ezbet ‘Abd el-Wâḥid Ḥamdi,Ezbet Abd al Wahid Hamdi,عزبة عبد الواحد حمدي
EGY-711B91250297-803B58385471-X-359693,At Tawfīqīyah,Al Tawfiqiyah,التوفيقية
EGY-711B31659985-803B47154211-X-434208,Ar Rizīmāt,Al Rizimat,الرزيمات
EGY-711B31659985-803B31497903-X-360908,Al Khawalid,Al Khawalid,الخوالد
EGY-711B8184782-803B26583610-X-357627,‘Ezbet ‘Ali Abû Ḥimeid,Ezbet Ali Abu Himeid,عزبة علي أبو حميد
EGY-711B85270152-803B90320774-X-358456,Dalhamū,Dalhamu,دلهمو
EGY-711B20348427-803B70996965-X-415666,Kafr ‘Īsá Qandīl,Kafr Isa Qandil,كفر عيسى قنديل
EGY-711B82469511-803B72656052-X-362071,Abū Şīr,Abu Sir,أبو صير
EGY-711B20348427-803B98049987-X-433551,Abū Ḩuţaybah,Abu Hutaybah,أبو حطيبة
EGY-711B20348427-803B82736701-X-360664,Al Munājāh al Kubrá,Al Munajah al Kubra,المناجات الكبرى
EGY-711B94743502-803B19020637-X-419630,‘Izbat ‘Abd al ‘Āl Ibrāhīm,Izbat Abd al Al Ibrahim,عزبة عبد العال إبراهيم
EGY-711B94743502-803B56695528-X-354705,Kafr al Barāmūn,Kafr al Baramun,كفر البرامون
EGY-711B38941206-803B50438874-X-359889,Aş Şahrīj,Al Sahrij,الصهريج
EGY-711B8184782-803B26583610-X-347586,Tallah,Tallah,تلة
EGY-711B78324068-803B29715502-X-357217,Ezbet Muḥammad Abd el-Âli,Ezbet Muhammad Abd al Ali,عزبة محمد عبد العالي
EGY-711B85270152-803B42541992-X-349059,Shubrā Khalfūn,Shubra Khalfun,شبرا خلفون
EGY-711B94743502-803B15734042-X-360931,Al Khamasah,Al Khamasah,الخمسة
EGY-711B38941206-803B22266923-X-434425,Shalash,Shalash,شلش
EGY-711B94743502-803B56464460-X-356331,Halā,Hala,هلا
EGY-711B31659985-803B23314658-X-357664,‘Ezbet Abu Keifu,Ezbet Abu Keifu,عزبة أبو كيفو
EGY-711B65091897-803B5789133-X-354234,Kafr ‘Inān,Kafr Inan,كفر عنان
EGY-711B86091554-803B18090577-X-361606,Al ‘Allāqī,Al Allaqi,العلاقي
EGY-711B20348427-803B82736701-X-357215,‘Izbat Muḩammad ‘Abd al Ḩaqq,Izbat Muhammad Abd al Haqq,عزبة محمد عبد الحق
EGY-711B8184782-803B31055727-X-360736,Al Ma‘şarah,Al Masarah,المعصرة
EGY-711B78324068-803B29715502-X-357395,‘Ezbet el-Shaḥḥât,Ezbet al Shahhat,عزبة الشحات
EGY-711B31659985-803B98377236-X-415931,‘Izbat al ‘Awām,Izbat al Awam,عزبة العوام
EGY-711B31659985-803B85504247-X-352404,Būlīn,Bulin,بولين
EGY-711B95333894-803B4479217-X-421292,As Sa‘īdīyah al Baḩrīyah,Al Saidiyah al Bahriyah,السعيدية البحرية
EGY-711B95333894-803B73618203-X-421066,‘Izbat Ḩamdī Shabānah,Izbat Hamdi Shabanah,عزبة حمدي شبانة
EGY-711B8184782-803B95070363-X-357369,‘Ezbet el-Teil,Ezbet al Teil,عزبة الطيل
EGY-711B77996822-803B79831319-X-355320,‘Izbat Nūbār Bāshā,Izbat Nubar Basha,عزبة نوبار باشا
EGY-711B82469511-803B16929235-X-355117,Jazīrat adh Dhahab,Jazirat adh Dhahab,جزيرة الذهب
EGY-711B94743502-803B56695528-X-419520,‘Izbat al Bundīrah,Izbat al Bundirah,عزبة البنديرة
EGY-711B8184782-803B21965840-X-352719,Marzūq,,
EGY-711B8184782-803B42158920-X-360724,Al Maţāhrah al Baḩarīyah,Al Matahrah al Bahariyah,المطاهرة البحرية
EGY-711B20348427-803B52613313-X-354794,Kafr Abū ‘Umar,Kafr Abu Umar,كفر أبو عمر
EGY-711B8184782-803B42158920-X-355426,Itlīdim,,
EGY-711B94743502-803B19020637-X-419660,‘Izbat Muḩammad Ţanţāwī,Izbat Muhammad Tantawi,عزبة محمد طنطاوي
EGY-711B91250297-803B27603422-X-357572,‘Ezbet Bûlâd,Ezbet Bulad,عزبة بولاد
EGY-711B20348427-803B18830279-X-359894,Aş Şaḩāfah,Al Sahafah,الصحافة
EGY-711B20348427-803B38315410-X-354233,Kafr ‘Īsá,Kafr Isa Agha,كفر عيسى آغا
EGY-711B20348427-803B94489799-X-353829,Kawm Ḩallīn,Kawm Hallin,كوم حلين
EGY-711B55169678-803B98761906-X-358620,Safaga,Port Safaga,سفاجا
EGY-711B31659985-803B97676774-X-433202,‘Izbat Sayf ad Dīn al Baḩarīyah,Izbat Sayf al Din al Bahariyah,عزبة سيف الدين البحرية
EGY-711B20348427-803B94489799-X-354157,Kafr Muşţafá AFandī,Kafr Mustafa AFandi,كفر مصطفى أفندي
EGY-711B65091897-803B92878844-X-354037,Kafr Ţarnah,Kafr Tarnah,كفر طرنة
EGY-711B38941206-803B50438874-X-355042,Jimrīs,Jimris,شارع الجيش منزل شعبان مرعي عمر
EGY-711B91250297-803B58385471-X-434340,‘Izbat al Maqţa‘,Izbat al Maqta,عزبة المقطع
EGY-711B75380229-803B46405891-X-358815,Biltān,Zawiyat Biltan wa Minshat Ismat,زاوية بلتان و منشأة عصمت
EGY-711B75380229-803B46405891-X-358815,Biltān,Biltan,بلتان
EGY-711B82469511-803B51394355-X-346439,Askur,Askur,أسكر
EGY-711B31659985-803B27533677-X-433095,Minshāt Bishārah,Minshat Bisharah,منشأة بشارة
EGY-711B86091554-803B12570523-X-351496,Naj‘ al Ḩawsh,Naj al Hawsh,نجع الحوش
EGY-711B38941206-803B22266923-X-353838,Kawm Būhā Baḩrī,Kawm Buha Bahri,كوم بوحا بحري
EGY-711B85270152-803B50571185-X-349572,Sarsamūs,Sarsamus,سرسموس
EGY-711B38941206-803B16486624-X-361335,Al Fārūqīyah,Al Faruqiyah,الفاروقية
EGY-711B87964482-803B20301120-X-434541,Naj‘ al ‘Amāyrah,Naj al Amayrah,نجع العمايرة
EGY-711B31659985-803B31497903-X-433212,‘Izbat Muḩammad Amīn al Baḩrīyah,Izbat Muhammad Amin al Bahriyah,عزبة محمد أمين البحرية
EGY-711B20348427-803B99402078-X-346476,‘Urbān Jazīrat Abū ‘Umrān,Urban Jazirat Abu Umran,عربان جزيرة أبو عمران
EGY-711B82454923-803B98626873-X-361810,Ad Diyābīyah,Al Diyabiyah,الديابية
EGY-711B75380229-803B52438505-X-350815,Qalamā,Qalama,قلما
EGY-711B65091897-803B164937-X-419134,‘Izbat al Jimmayzah,Izbat al Jimmayzah,عزبة الجميزة
EGY-711B65091897-803B48057008-X-355613,Idshāy,Idshay,إدشاي
EGY-711B31659985-803B85504247-X-414908,Al Arba‘ ‘Izab,Al Arba Izab,الأربع عزاب
EGY-711B20348427-803B77941839-X-359860,As Samā‘inah,Al-Samaanah,السماعنة
EGY-711B20348427-803B31535843-X-354385,Kafr Awlād ‘Aţīyah,Kafr Awlad Atiyah,كفر أولاد عطية
EGY-711B31659985-803B55903609-X-362955,Abtūk,Abtuk,أبتوك
EGY-711B11452178-803B88676599-X-445278,Wābūrāt al Maţā‘inah,Waburat al Matainah,وابورات المطاعنة
EGY-711B31659985-803B23282512-X-355312,‘Izbat Ţāhir Bey al Mişrī,Izbat Tahir Bey al Misri,عزبة طاهر بيك المصري
EGY-711B75380229-803B39741155-X-354841,Kafr Abū Dhikrī,Kafr Abu Dhikri,كفر أبو ذكري
EGY-711B8184782-803B31055727-X-350812,Qalandūl,,
EGY-711B20348427-803B72981493-X-433842,‘Izbat al ‘Arab,Izbat al Arab,عزبة العرب
EGY-711B31659985-803B27533677-X-362056,Abū Su‘ayfah,Abu Suayfah,أبو سعيفة
EGY-711B82469511-803B95195404-X-360490,Al ‘Uwaynah,Al Uwaynah,العوينة
EGY-711B87964482-803B11382553-X-445005,Az Zawak al Gharbīyah,Al Zawak al Gharbiyah,الزوك الغربية
EGY-711B82454923-803B68822300-X-351720,Muzūrah,Mazoura,مازوره
EGY-711B4276609-803B50016772-X-351488,Naj‘ al Kahrajallah,Naj al Kahrajallah,نجع الكهرجلة
EGY-711B31659985-803B47154211-X-357268,‘Ezbet Kôm el-Bûs,Ezbet Kom al Bus,عزبة كوم البوز
EGY-711B38941206-803B52873945-X-355563,‘Ilwān,Ilwan,علوان
EGY-711B31659985-803B27533677-X-421654,‘Izbat al ‘Abbāsīyah,Izbat al Abbasiyah,عزبة العباسية
EGY-711B20348427-803B72981493-X-432883,Abū Qarāmīţ,Abu Qaramit,أبو قراميط
EGY-711B78324068-803B58128383-X-416059,‘Izbat al Maşrī,Izbat al Masri,عزبة المصري
EGY-711B94743502-803B14552009-X-433816,‘Izbat al Bāz,Izbat al Baz,عزبة الباز
EGY-711B31659985-803B85504247-X-358302,‘Izbat Ḑayf,Izbat Dayf,عزبة ضيف
EGY-711B91250297-803B58385471-X-434321,Naqālīfah,Naqalifah,نقاليفة
EGY-711B20348427-803B99402078-X-354726,Kafr al Ashqam,Kafr al Ashqam,كفر الأشقم
EGY-711B91250297-803B27603422-X-434282,‘Izbat al Jirāy,Izbat al Jiray,عزبة الجراي
EGY-711B20348427-803B9986369-X-354433,Kafr as Sarāsīyah,Kafr al Sarasiyah,كفر السراسية
EGY-711B20348427-803B3738028-X-360612,Al Qanāyāt,Al Qanayat,القنايات
EGY-711B65091897-803B17401040-X-354188,Kafr Mas‘ūd,Kafr Masud,كفر مسعود
EGY-711B65091897-803B81254193-X-416109,‘Izbat Abū ‘Alī,Izbat Abu Ali,عزبة أبو علي
EGY-711B11452178-803B88676599-X-445280,Naj‘ al Burj,Naj al Burj,نجع البرج
EGY-711B94743502-803B15734042-X-433851,Al Mīhī,Al Mihi,الميهي
EGY-711B31659985-803B50283844-X-357507,‘Izbat al Muḩīţ,Izbat al Muhit,عزبة المحيط
EGY-711B8184782-803B32134208-X-349779,Salāqūs,,
EGY-711B82454923-803B15000910-X-358458,Dalāş,Dalas,دلاص
EGY-711B94743502-803B2786478-X-420593,‘Izbat Wāşif,Izbat Wasif,عزبة واصف
EGY-711B20348427-803B70996965-X-354237,Kafr Ikyād,Kafr Ikyad,كفر إكياد
EGY-711B74459803-803B84450157-X-356436,Ḩadā’iq al Qubbah,Hadaiq el Qubbah,حدائق القبة
EGY-711B74459803-803B84450157-X-356436,Ḩadā’iq al Qubbah,Hadaiq el Qubbah,حدائق القبة
EGY-711B91250297-803B21585728-X-434347,Al ‘Āmirīyah,Al Amiriyah,العامرية
EGY-711B20348427-803B31535843-X-354315,Kafr Dunūhyā,Kafr Dunuhya,كفر دنوهيا
EGY-711B77996822-803B4424872-X-434145,Qaryat Shākūsh,Qaryat Shakush,قرية شاكوش
EGY-711B20348427-803B77941839-X-433764,‘Izbat az Zaghānwah,Izbat al Zaghanwah,عزبة الزغانوة
EGY-711B8184782-803B42158920-X-352896,Mansafīs,Mansafis,منسفيس
EGY-711B55169678-803B34789615-X-352736,Marsa Alam,Marsa Alam,مرسى علم
EGY-711B20348427-803B31535843-X-354369,Kafr az Zand,Kafr al Zand,كفر الزند
EGY-711B78324068-803B81487304-X-416295,‘Izbat an Nāz̧ir,Izbat an Nazir,عزبة الناظر
EGY-711B78324068-803B81487304-X-416313,‘Izbat Abū Ḩusayn,Izbat Abu Husayn,عزبة أبو حسين
EGY-711B31659985-803B54595429-X-415867,‘Izbat al Kawm,Izbat al Kawm,عزبة الكوم
EGY-711B4276609-803B50016772-X-359696,Aţ Ţawābīyah,At Tawabeyah,الطوابية
EGY-711B8184782-803B78115524-X-358513,Dafash,,
EGY-711B74459803-803B3840237-X-408692,Burg el-Ḥudûd,Burg al Hudud,برج الحدود
EGY-711B20348427-803B31535843-X-347564,Tall Mismār,Tall Mismar,تل مسمار
EGY-711B8184782-803B32134208-X-359219,Banī Khālid al Baḩrīyah,Bani Khalid al Bahriyah,بني خالد البحرية
EGY-711B65091897-803B81254193-X-409210,Kafr aţ Ţūkhī,Kafr al Tukhi,كفر الطوخي
EGY-711B31659985-803B27533677-X-433085,‘Izbat Waḩīdah Abū Ismā‘īl,Izbat Wahidah Abu Ismail,عزبة وحيدة أبو إسماعيل
EGY-711B75380229-803B74163848-X-354295,Kafr Fānūs,Kafr Fanus Masud,كفر فانوس مسعود
EGY-711B85270152-803B76830858-X-354855,Kafr Abū al Ḩadīd,Kafr Abu al Hadid,كفر أبو الحديد
EGY-711B94743502-803B47444103-X-420773,Al Ūrmān,Al Urman,الاورمان
EGY-711B31659985-803B66639380-X-415062,‘Izbat Abū Ḩashībah,Izbat Abu Hashibah,عزبة أبو حشيبة
EGY-711B86091554-803B34574882-X-360156,Ar Raghāmah,Al Raghamah,الرغامة
EGY-711B31659985-803B27533677-X-408935,Aḩmad Rāmī,Ahmad Rami,أحمد رامي
EGY-711B11452178-803B88676599-X-359677,At Tir‘ah,Al Tirah,الترعة
EGY-711B31659985-803B85504247-X-353854,Kawm aţ Ţarfāyah,Kawm al Tarfayah,كوم الطرفاية
EGY-711B20348427-803B52613313-X-433507,‘Izbat al Ḩakīm,Izbat al Hakim,عزبة الحكيم
EGY-711B31659985-803B98377236-X-415158,‘Izbat Ḩalq al Jamal,Izbat Halq al Jamal,عزبة حلق الجمل
EGY-711B78324068-803B31841400-X-419064,‘Izbat Khāţir,Izbat Khatir,عزبة خاطر
EGY-711B87964482-803B51908584-X-359878,As Salamūnī,Al Salamuni,السلموني
EGY-711B78324068-803B81487304-X-415597,Az Zayyātīn,Al Zayyatin,الزياتين
EGY-711B31659985-803B27533677-X-357249,‘Ezbet Luṭaîyif,Ezbet Lutaiyif,عزبة لطيف
EGY-711B8184782-803B32134208-X-354203,Kafr Mahdī,Kafr Mahdi,كفر مهدي
EGY-711B8184782-803B42158920-X-355452,Ismant,Nazlet Ismant,نزلة إسمنت
EGY-711B31659985-803B27533677-X-357351,‘Ezbet Foda,Ezbet Foda,عزبة فدة
EGY-711B95333894-803B4479217-X-421346,‘Izbat al Alfī,Izbat al Alfi,عزبة الألفي
EGY-711B11452178-803B88676599-X-353498,Kīmān al Maţā‘inah,Kiman al Matainah,كيمان المطاعنة
EGY-711B38941206-803B93331685-X-361271,Al Ḩabālişah,Al Habalisah,الحبالصة
EGY-711B31659985-803B20808037-X-358157,Dimishlī,Dimishli,دمشلي
EGY-711B78324068-803B98768640-X-357361,‘Izbat az Zahrāt,Izbat al Zahrat,عزبة الزهرات
EGY-711B38941206-803B22266923-X-358365,Dashlūţ,Dashlut,دشلوط
EGY-711B11452178-803B41478232-X-351669,Naj‘ ‘Azzūz,Naj Azzuz,نجع عزوز
EGY-711B78324068-803B81487304-X-416306,‘Izbat as Şāwī,Izbat al Sawi,عزبة الصاوي
EGY-711B20348427-803B94489799-X-361231,Al Ḩamīdīyah,Al Hamidiyah,الحميدية
EGY-711B31659985-803B31497903-X-354452,Kafr ‘Askar Şafţ,Kafr Askar Saft,كفر عسكر صفط
EGY-711B20348427-803B70996965-X-415650,‘Izbat at Tall,Izbat al Tall,عزبة التل
EGY-711B8184782-803B47449146-X-359268,Banī ‘Alī,,
EGY-711B31659985-803B85504247-X-357087,‘Ezbet Tell,Ezbet Tell,عزبة تل
EGY-711B8184782-803B47449146-X-362933,Abū al ‘Abbās,Abu al Abbas,أبو العباس
EGY-711B82469511-803B72656052-X-360746,Al Marāzīq,Al Maraziq,المرازيق
EGY-711B74459803-803B79947887-X-415625,Madinaty,Madinaty,مدينتي
EGY-711B95333894-803B73618203-X-421111,Qaryat al Ittiḩād,Qaryat al Ittihad,قرية الإتحاد
EGY-711B20348427-803B99402078-X-433787,‘Izbat ar Raghlah,Izbat al Raghlah,عزبة الرغلة
EGY-711B78324068-803B57124028-X-415975,‘Izbat Muşţafá al ‘Īsawī,Izbat Mustafa al Isawi,عزبة مصطفى العيسوي
EGY-711B11452178-803B36886552-X-357525,Ezbet el-Busa,Ezbet al Busa,عزبة البوسة
EGY-711B8184782-803B21965840-X-360219,‘Arab Najm Ḩamad,Arab Najm Hamad,عرب نجم حمد
EGY-711B82454923-803B48911220-X-359272,Banī ‘Affān,,
EGY-711B85270152-803B51535979-X-354860,Kafr Abshīsh,Kafr Abshish,كفر أبشيش
EGY-711B65091897-803B48057008-X-350635,Qasţā,Qasta,قسطا
EGY-711B38941206-803B22266923-X-359653,‘Awājah,Awajah,عواجة
EGY-711B78324068-803B24200756-X-360983,Al Kafr al Baḩrī,Al Kafr al Bahri,الكفر البحري
EGY-711B20348427-803B69972937-X-420609,‘Izbat Muḩammad ‘Abd Allāh,Izbat Muhammad Abd Allah,عزبة محمد عبد الله
EGY-711B77996822-803B44562512-X-414918,‘Izbat al Birins al Baḩrīyah,Izbat al Birins al Bahriyah,عزبة البرنس البحرية
EGY-711B20348427-803B3738028-X-420552,‘Izbat ‘Abd al ‘Āl,Izbat Abd al Al,عزبة عبد العال
EGY-711B82469511-803B12769597-X-358794,Birak al Khiyām,Birak al Khiyam,برك الخيام
EGY-711B20348427-803B82736701-X-354664,Kafr al Harā’isah,Kafr al Haraisah,كفر الهرائسة
EGY-711B94743502-803B47624266-X-352330,Minyat Samannūd,Minyat Samannud,منية سمنود
EGY-711B78324068-803B24200756-X-416178,‘Izbat Ḩusayn al Khubī al Kubrá,Izbat Husayn al Khubi al Kubra,عزبة حسين الخبي الكبرى
EGY-711B87964482-803B25974925-X-352562,Mazātat ash Shaykh Jabr,Mazatat al Shaykh Jabr,مزاتة و الشيخ جبر
EGY-711B91250297-803B1677977-X-357461,‘Izbat al Khazzān,Izbat al Khazzan,عزبة الخزان
EGY-711B31659985-803B66639380-X-415061,‘Izbat al Junaydah,Izbat al Junaydah,عزبة الجنيدة
EGY-711B95333894-803B33892715-X-421406,‘Izbat al ‘Azzāzīyah al Jadīdah,Izbat al Azzaziyah al Jadidah,عزبة العزازية الجديدة
EGY-711B86091554-803B51913263-X-360760,Al Manşūrīyah,Al Mansuriyah,المنصورية
EGY-711B20348427-803B70996965-X-415705,‘Izbat Ḩawḑ an Nadá,Izbat Hawd an Nada,عزبة حوض الندى
EGY-711B78324068-803B57124028-X-354577,Kafr al Murābi‘īn,Kafr al Murabiin,كفر المرابعين
EGY-711B38941206-803B50438874-X-359273,Banī ‘Adī al Qiblīyah,Bani Adi al Qibliyah,بني عدي القبلية
EGY-711B20348427-803B69972937-X-354045,Kafr Tall ‘Abduh,Kafr Tall Abduh,كفر تل عبده
EGY-711B11452178-803B49708217-X-434531,Naj‘ al ‘Āqūlah,Naj al Aqulah,نجع العاقولة
EGY-711B91250297-803B27603422-X-434263,‘Izbat Kamāl,Izbat Kamal,عزبة كمال
EGY-711B65091897-803B67241062-X-416153,‘Izbat Ḩasan Rashīd,Izbat Hasan Rashid,عزبة حسن رشيد
EGY-711B77996822-803B4424872-X-433922,Muşţafá Kāmil,Mustafa Kamil,مصطفى كامل
EGY-711B20348427-803B70996965-X-354261,Kafr Ḩifnā,Kafr Hifna,كفر حفنا
EGY-711B82454923-803B48911220-X-359260,Banī Bakhīt,Bani Bakhit,بني بخيت
EGY-711B65091897-803B17401040-X-349468,Shabshīr al Ḩişşah,Shabshir al Hissah,شبشير الحصة
EGY-711B82469511-803B51394355-X-349818,Sakanāt ‘Arab al ‘Ayā’idah,Sakanat Arab al Ayaidah,سكنات عرب العيائدة
EGY-711B91250297-803B21585728-X-434333,‘Izbat Sa‘d Abū Diyāb,Izbat Sad Abu Diyab,عزبة سعد أبو دياب
EGY-711B78324068-803B57124028-X-416280,‘Izbat ash Sharikah,Izbat al Sharikah,عزبة الشركة
EGY-711B75504380-803B30897441-X-410501,Al Kharbah,Al Kharbah,الخربة
EGY-711B65091897-803B5789133-X-354053,Kafr Sunbāţ,Kafr Sunbat,كفر سنباط
EGY-711B31659985-803B85504247-X-361400,Al Baslaqūn,Al Baslaqun,البسلقون
EGY-711B78324068-803B98768640-X-358780,Birinbāl,Birinbal,برنبال
EGY-711B20348427-803B18830279-X-360758,Al Manyal,Al Manyal,المنيل
EGY-711B75504380-803B55873566-X-449798,Obeidot,Obeidot,عبيدات
EGY-711B78324068-803B98768640-X-415031,‘Izbat al Qashshāshī,Izbat al Qashshashi,عزبة القشاشي
EGY-711B91250297-803B21585728-X-434337,‘Izbat ‘Abd an Nabī Ḩusayn,Izbat Abd an Nabi Husayn,عزبة عبد النبي حسين
EGY-711B20348427-803B18830279-X-354844,Kafr Abū Daqn,Kafr Abu Daqn,كفر أبو دقن
EGY-711B91250297-803B58385471-X-359887,As Sa‘īdīyah,Al Saidiyah,السعيدية
EGY-711B91250297-803B27603422-X-434271,‘Izbat al Wābūr al Mustajiddah,Izbat al Wabur al Mustajiddah,عزبة الوابور المستجدة
